,planname
1181,Lübarser Straße
1182,Märkisches Zentrum
1183,Wittenau Nord
1184,Waidmannslust
1185,Waidmannslust
1186,Frohnau Ost
1187,Frohnau Ost
1188,Frohnau Ost
1189,Frohnau Ost
1190,Frohnau Ost
1191,Frohnau Ost
1192,Frohnau Ost
1193,Frohnau Ost
1194,Frohnau West
1195,Lübars
1196,Scharnweberstraße
1197,Frohnau West
1198,Frohnau Ost
1199,Frohnau Ost
1200,Scharnweberstraße
1201,Meller Bogen
1202,Lübars
1203,Klixstraße
1204,Treuenbrietzener Straße
1205,Lübars
1206,Wittenau Nord
1207,Reinickes Hof
1208,Lübars
1209,Hausotterplatz
1210,Lübars
1211,Breitkopfbecken
1212,Ziekowstraße/Freie Scholle
1213,Ziekowstraße/Freie Scholle
1214,Breitkopfbecken
1215,Teichstraße
1216,Humboldtstraße
1217,Ziekowstraße/Freie Scholle
1218,Ziekowstraße/Freie Scholle
1219,Ziekowstraße/Freie Scholle
1220,Letteplatz
1221,Hausotterplatz
1222,Breitkopfbecken
1223,Ziekowstraße/Freie Scholle
1224,Humboldtstraße
1225,TXL
1226,Wittenau Süd
1227,Ziekowstraße/Freie Scholle
1228,Meller Bogen
1229,Klixstraße
1230,Klixstraße
1231,Schäfersee
1232,Schäfersee
1233,Schäfersee
1234,Teichstraße
1235,Teichstraße
1236,Teichstraße
1237,Schäfersee
1238,Teichstraße
1239,Teichstraße
1240,Teichstraße
1241,Hermsdorf Ost/Waldsee
1242,Hermsdorf Ost/Waldsee
1243,Hermsdorf West
1244,Waidmannslust
1245,Hermsdorf Ost/Waldsee
1246,Hermsdorf Ost/Waldsee
1247,Hermsdorf West
1248,Hermsdorf Ost/Waldsee
1249,Waidmannslust
1250,Hermsdorf West
1251,Hermsdorf Ost/Waldsee
1252,Hermsdorf West
1253,Ziekowstraße/Freie Scholle
1254,Lübars
1255,Lübars
1256,Lübars
1257,Ziekowstraße/Freie Scholle
1258,Wittenau Nord
1259,Rollbergesiedlung
1260,Lübars
1261,Schumacher-Quartier
1262,Wittenau Süd
1263,Teichstraße
1264,Letteplatz
1265,Hausotterplatz
1266,Reinickes Hof
1267,Letteplatz
1268,Meller Bogen
1269,Schäfersee
1270,Wittenau Nord
1271,Ziekowstraße/Freie Scholle
1272,Waldidyll/Flughafensee
1273,Ziekowstraße/Freie Scholle
1274,Borsigwalde
1275,Wittenau Nord
1276,Waldidyll/Flughafensee
1277,Lübars
1278,Lübars
1279,Lübars
1280,Lübars
1281,Afrikanische Straße
1282,Humboldthain Nordwest
1283,Soldiner Straße
1284,Londoner Straße
1285,Londoner Straße
1286,Schillerpark
1287,Drontheimer Straße
1288,Schulstraße
1289,Uferstraße
1290,Koloniestraße
1291,Afrikanische Straße
1292,Humboldthain Nordwest
1293,Schillerpark
1294,Afrikanische Straße
1295,Drontheimer Straße
1296,Gesundbrunnen
1297,Soldiner Straße
1298,Gesundbrunnen
1299,Schillerpark
1300,Afrikanische Straße
1301,Drontheimer Straße
1302,Schillerpark
1303,Schwedenstraße
1304,Schwedenstraße
1305,Leopoldplatz
1306,Kameruner Straße
1307,Uferstraße
1308,Schulstraße
1309,Klinikum Buch
1310,Karower Chaussee
1311,Karower Chaussee
1312,Karower Chaussee
1313,Karower Chaussee
1314,Karower Chaussee
1315,Karower Chaussee
1316,Karower Chaussee
1317,Eddastraße
1318,Herthaplatz
1319,Klinikum Buch
1320,Herthaplatz
1321,Eddastraße
1322,Pastor-Niemöller-Platz
1323,Pastor-Niemöller-Platz
1324,Uhlandstraße
1325,Wilhelmsruh
1326,Wilhelmsruh
1327,Wilhelmsruh
1328,Schönholz
1329,Spiekermann Straße
1330,Kissingenviertel
1331,Tiroler Viertel
1332,Kissingenviertel
1333,Tiroler Viertel
1334,Schlosspark
1335,Schlosspark
1336,Garbátyplatz
1337,Garbátyplatz
1338,Florakiez
1339,Schlosspark
1340,Parkstraße
1341,Schlosspark
1342,Wolfshagener Straße
1343,Garbátyplatz
1344,Wolfshagener Straße
1345,Florakiez
1346,Schlosspark
1347,Schönholz
1348,Schlosspark
1349,Schönholz
1350,Trelleborger Viertel
1351,Schönholz
1352,Karow Bahnhof
1353,Blankenburg
1354,Hansastraße
1355,Karow Ost
1356,Märchenland
1357,Blankenburg
1358,Eddastraße
1359,Heinersdorf
1360,Märchenland
1361,Blankenfelde
1362,Blankenfelde
1363,Schlosspark
1364,Blankenburg
1365,Komponistenviertel Weißensee
1366,Blankenfelde
1367,Klinikum Buch
1368,Märchenland
1369,Weißer See
1370,Hansastraße
1371,Klinikum Buch
1372,Karower Chaussee
1373,Märchenland
1374,Weißenseer Spitze
1375,Karow Bahnhof
1376,Karow Nord
1377,Karow Nord
1378,Karow Nord
1379,Karow Bahnhof
1380,Heinersdorf
1381,Blankenburg
1382,Blankenburg
1383,Karow Nord
1384,Karow Nord
1385,Karow Ost
1386,Hansastraße
1387,Karow Bahnhof
1388,Karow Nord
1389,Blankenburger Süden
1390,Karow Bahnhof
1391,Hansastraße
1392,Bühringstraße
1393,Bühringstraße
1394,Karow Nord
1395,Märchenland
1396,Rathaus Weißensee
1397,Blankenburg
1398,Hansastraße
1399,Rathaus Weißensee
1400,Karow Bahnhof
1401,Hansastraße
1402,Hansastraße
1403,Blankenburg
1404,Rathaus Weißensee
1405,Karow Ost
1406,Karow Nord
1407,Märchenland
1408,Blankenburg
1409,Blankenburg
1410,Karow Nord
1411,Blankenburg
1412,Rathaus Weißensee
1413,Heinersdorf
1414,Krugpfuhl
1415,Parkstraße
1416,Blankenfelde
1417,Blankenfelde
1418,Norweger Viertel
1419,Heinersdorf
1420,Eddastraße
1421,Karower Chaussee
1422,Karow Ost
1423,Karow Nord
1424,Krugpfuhl
1425,Krugpfuhl
1426,Krugpfuhl
1427,Blankenburger Süden
1428,Blankenburg
1429,Arnimplatz
1430,Märchenland
1431,Märchenland
1432,Weißer See
1433,Weißer See
1434,Krugpfuhl
1435,Märchenland
1436,Humannplatz
1437,Märchenland
1438,Karow Nord
1439,Ostseestraße
1440,Weißer See
1441,Hansastraße
1442,Norweger Viertel
1443,Wolfshagener Straße
1444,Florakiez
1445,Heinersdorf
1446,Herthaplatz
1447,Herthaplatz
1448,Blankenfelde
1449,Parkstraße
1450,Karower Chaussee
1451,Blankenfelde
1452,Tiroler Viertel
1453,Tiroler Viertel
1454,Bucher Forst
1455,Blankenfelde
1456,Parkstraße
1457,Wolfshagener Straße
1458,Schönholz
1459,Blankenfelde
1460,Blankenfelde
1461,Herthaplatz
1462,Nisbléstraße
1463,Krugpfuhl
1464,Krugpfuhl
1465,Rosenthal
1466,Krugpfuhl
1467,Blankenfelde
1468,Nisbléstraße
1469,Krugpfuhl
1470,Bucher Forst
1471,Eddastraße
1472,Bucher Forst
1473,Eddastraße
1474,Märchenland
1475,Hansastraße
1476,Rathaus Weißensee
1477,Karow Bahnhof
1478,Blankenburger Süden
1479,Blankenburger Süden
1480,Blankenburger Süden
1481,Uhlandstraße
1482,Blankenburg
1483,Florakiez
1484,Parkstraße
1485,Blankenfelde
1486,Blankenfelde
1487,Bucher Forst
1488,Marzahn West
1489,Bürgerpark
1490,Marzahn West
1491,Gewerbegebiet Bitterfelder Straße
1492,Gewerbegebiet Bitterfelder Straße
1493,Gewerbegebiet Bitterfelder Straße
1494,Marzahn West
1495,Marzahn West
1496,Marzahn West
1497,Wuhletalstraße
1498,Wittenberger Straße
1499,Marzahn West
1500,Bürgerpark
1501,Bürgerpark
1502,Gewerbegebiet Bitterfelder Straße
1503,Bürgerpark
1504,Bürgerpark
1505,Gewerbegebiet Bitterfelder Straße
1506,Gewerbegebiet Bitterfelder Straße
1507,Bürgerpark
1508,Malchower Weg
1509,Mühlengrund
1510,Mühlengrund
1511,Zingster Straße West
1512,Wartenberg Süd
1513,Dorf Falkenberg
1514,Dörfer Malchow-Wartenberg
1515,Dörfer Malchow-Wartenberg
1516,Zingster Straße Ost
1517,Falkenberg Ost
1518,Falkenberg West
1519,Zingster Straße Ost
1520,Zingster Straße Ost
1521,Zingster Straße Ost
1522,Zingster Straße West
1523,Wartenberg Süd
1524,Falkenberg Ost
1525,Zingster Straße West
1526,Zingster Straße Ost
1527,Zingster Straße West
1528,Zingster Straße Ost
1529,Dörfer Malchow-Wartenberg
1530,Zingster Straße Ost
1531,Falkenberg Ost
1532,Dorf Falkenberg
1533,Dörfer Malchow-Wartenberg
1534,Zingster Straße West
1535,Dörfer Malchow-Wartenberg
1536,Falkenberg West
1537,Dörfer Malchow-Wartenberg
1538,Dörfer Malchow-Wartenberg
1539,Wartenberg Nord
1540,Dörfer Malchow-Wartenberg
1541,Dörfer Malchow-Wartenberg
1542,Wartenberg Nord
1543,Dörfer Malchow-Wartenberg
1544,Dörfer Malchow-Wartenberg
1545,Dörfer Malchow-Wartenberg
1546,Falkenberg Ost
1547,Zingster Straße West
1548,Zingster Straße Ost
1549,Falkenberg West
1550,Dörfer Malchow-Wartenberg
1551,Falkenberg West
1552,Falkenberg Ost
1553,Dörfer Malchow-Wartenberg
1554,Dörfer Malchow-Wartenberg
1555,Mühlengrund
1556,Dörfer Malchow-Wartenberg
1557,Dorf Falkenberg
1558,Dorf Falkenberg
1559,Dorf Falkenberg
1560,Falkenberg Ost
1561,Dörfer Malchow-Wartenberg
1562,Falkenberg West
1563,Wartenberg Nord
1564,Dörfer Malchow-Wartenberg
1565,Dörfer Malchow-Wartenberg
1566,Wartenberg Nord
1567,Dorf Falkenberg
1568,Dörfer Malchow-Wartenberg
1569,Dörfer Malchow-Wartenberg
1570,Dörfer Malchow-Wartenberg
1571,Dörfer Malchow-Wartenberg
1572,Dörfer Malchow-Wartenberg
1573,Zingster Straße Ost
1574,Dorf Falkenberg
1575,Mühlengrund
1576,Zingster Straße Ost
1577,Dorf Falkenberg
1578,Dörfer Malchow-Wartenberg
1579,Malchower Weg
1580,Malchower Weg
1581,Malchower Weg
1582,Malchower Weg
1583,Falkenberg Ost
1584,Dorf Falkenberg
1585,Wartenberg Süd
1586,Dörfer Malchow-Wartenberg
1587,Dörfer Malchow-Wartenberg
1588,Dörfer Malchow-Wartenberg
1589,Dorf Falkenberg
1590,Dorf Falkenberg
1591,Dorf Falkenberg
1592,Waidmannslust
1593,Alt-Tegel
1594,Afrikanische Straße
1595,Afrikanische Straße
1596,Gewerbegebiet Bitterfelder Straße
1597,Gewerbegebiet Bitterfelder Straße
1598,Jungfernheide/Plötzensee
1599,Afrikanische Straße
1600,Dörfer Malchow-Wartenberg
1601,Dörfer Malchow-Wartenberg
1602,Blankenfelde
1603,Blankenfelde
1604,Schönholz
1605,Dörfer Malchow-Wartenberg
1606,Gewerbegebiet Bitterfelder Straße
1607,Gesundbrunnen
1608,Bucher Forst
1609,Schillerpark
1610,Eddastraße
1611,Bürgerpark
1612,Bürgerpark
1613,Bürgerpark
1614,Wartenberg Süd
1615,Ziekowstraße/Freie Scholle
1616,Dörfer Malchow-Wartenberg
1617,Dörfer Malchow-Wartenberg
1618,Dörfer Malchow-Wartenberg
1619,Dörfer Malchow-Wartenberg
1620,Dörfer Malchow-Wartenberg
1621,Dörfer Malchow-Wartenberg
1622,Dörfer Malchow-Wartenberg
1623,Hermsdorf Ost/Waldsee
1624,Dörfer Malchow-Wartenberg
1625,Afrikanische Straße
1626,Wilhelmsruh
1627,Dorf Falkenberg
1628,Dorf Falkenberg
1629,Dorf Falkenberg
1630,Dörfer Malchow-Wartenberg
1631,Dörfer Malchow-Wartenberg
1632,Falkenberg West
1633,Schulstraße
1634,Schulstraße
1635,Uferstraße
1636,Bucher Forst
1637,Leopoldplatz
1638,Falkenberg West
1639,Falkenberg Ost
1640,Bürgerpark
1641,Wittenau Nord
1642,Rosenbecker Straße
1643,Lea-Grundig-Straße
1644,Ahrensfelder Berge
1645,Wittenberger Straße
1646,Wuhletalstraße
1647,Golliner Straße
1648,Lea-Grundig-Straße
1649,Bürgerpark
1650,Wittenberger Straße
1651,Golliner Straße
1652,Wuhletalstraße
1653,Wuhletalstraße
1654,Ahrensfelder Berge
1655,Ahrensfelder Berge
1656,Rosenbecker Straße
1657,Ahrensfelder Berge
1658,Ahrensfelder Berge
1659,Wuhletalstraße
1660,Lea-Grundig-Straße
1661,Ahrensfelder Berge
1662,Zossener Straße
1663,Bürgerpark
1664,Golliner Straße
1665,Ahrensfelder Berge
1666,Ahrensfelder Berge
1667,Branitzer Platz
1668,Jungfernheide/Plötzensee
1669,Olympiagelände
1670,Breite Straße
1671,Breite Straße
1672,Branitzer Platz
1673,Branitzer Platz
1674,Branitzer Platz
1675,Fürstenplatz
1676,Neu Westend
1677,Angerburger Allee
1678,Angerburger Allee
1679,Kranzallee
1680,Jungfernheide/Plötzensee
1681,Lietzensee
1682,Olympiagelände
1683,Neu Westend
1684,Branitzer Platz
1685,Branitzer Platz
1686,Kranzallee
1687,Fürstenplatz
1688,Eichkamp
1689,Kranzallee
1690,Eichkamp
1691,Eichkamp
1692,Flatowallee
1693,Branitzer Platz
1694,Branitzer Platz
1695,Bismarckallee
1696,Hagenplatz
1697,Bismarckallee
1698,Hagenplatz
1699,Hundekehle
1700,Bismarckallee
1701,Hundekehle
1702,Hagenplatz
1703,Hundekehle
1704,Bismarckallee
1705,Hagenplatz
1706,Messelpark
1707,Bismarckallee
1708,Bismarckallee
1709,Flinsberger Platz
1710,Bismarckallee
1711,Hagenplatz
1712,Halensee
1713,Bismarckallee
1714,Messelpark
1715,Bismarckallee
1716,Hundekehle
1717,Bismarckallee
1718,Bismarckallee
1719,Bismarckallee
1720,Branitzer Platz
1721,Jungfernheide/Plötzensee
1722,Neu Westend
1723,Fürstenplatz
1724,Olympiagelände
1725,Flatowallee
1726,Flatowallee
1727,Branitzer Platz
1728,Olympiagelände
1729,Flatowallee
1730,Dahlem
1731,Dahlem
1732,Dahlem
1733,Hüttenweg
1734,Krumme Lanke
1735,Hüttenweg
1736,Fischtal
1737,Krumme Lanke
1738,Weinmeisterhornweg
1739,Weinmeisterhornweg
1740,Jägerallee
1741,Maulbeerallee
1742,Wilhelmstadt West
1743,Wilhelmstadt Ost
1744,Freiheit
1745,Staakener Straße
1746,Alt-Gatow
1747,Freiheit
1748,Tiefwerder
1749,Tiefwerder
1750,Borkumer Straße
1751,Alt-Gatow
1752,Tiefwerder
1753,Alt-Gatow
1754,Alt-Gatow
1755,Alt-Gatow
1756,Kurstraße
1757,Maulbeerallee
1758,Pillnitzer Weg
1759,Kladower Damm
1760,Borkumer Straße
1761,Börnicker Straße
1762,Staakener Straße
1763,Jägerallee
1764,Weinmeisterhornweg
1765,Siemensdamm
1766,Tiefwerder
1767,Zitadellenweg
1768,Alt-Gatow
1769,Werkstraße
1770,Wilhelmstadt West
1771,Kladower Damm
1772,Pillnitzer Weg
1773,Jägerallee
1774,Jägerallee
1775,Freiheit
1776,Alt-Gatow
1777,Jägerallee
1778,Wilhelmstadt Ost
1779,Börnicker Straße
1780,Rohrdamm
1781,Jägerallee
1782,Magistratsweg
1783,Börnicker Straße
1784,Wilhelmstadt Ost
1785,Alt-Gatow
1786,Nonnendammallee
1787,Staakener Straße
1788,Borkumer Straße
1789,Pillnitzer Weg
1790,Jägerallee
1791,Rohrdamm
1792,Graetschelsteig
1793,Alt-Gatow
1794,Jägerallee
1795,Kladower Damm
1796,Alt-Gatow
1797,Werkstraße
1798,Döberitzer Weg
1799,Rohrdamm
1800,Jägerallee
1801,Carl-Schurz-Straße
1802,Alt-Gatow
1803,Jägerallee
1804,Alt-Gatow
1805,Jägerallee
1806,Alt-Gatow
1807,Jägerallee
1808,Jägerallee
1809,Zitadellenweg
1810,Jägerallee
1811,Jägerallee
1812,Börnicker Straße
1813,Staakener Straße
1814,Alt-Gatow
1815,Weinmeisterhornweg
1816,Carl-Schurz-Straße
1817,Spandauer Straße
1818,Pillnitzer Weg
1819,Tiefwerder
1820,Alt-Gatow
1821,Kladower Damm
1822,Pillnitzer Weg
1823,Spandauer Straße
1824,Alt-Gatow
1825,Alt-Gatow
1826,Kladower Damm
1827,Carl-Schurz-Straße
1828,Spandauer Straße
1829,Graetschelsteig
1830,Alt-Gatow
1831,Alt-Gatow
1832,Alt-Gatow
1833,Börnicker Straße
1834,Carl-Schurz-Straße
1835,An der Kappe
1836,Carl-Schurz-Straße
1837,Carl-Schurz-Straße
1838,Kurstraße
1839,Alt-Gatow
1840,Carl-Schurz-Straße
1841,Carl-Schurz-Straße
1842,Kurstraße
1843,Carl-Schurz-Straße
1844,Werkstraße
1845,Nonnendammallee
1846,Freiheit
1847,Carl-Schurz-Straße
1848,Pillnitzer Weg
1849,Ackerstraße
1850,Zitadellenweg
1851,Alt-Gatow
1852,Weinmeisterhornweg
1853,Döberitzer Weg
1854,Döberitzer Weg
1855,Zitadellenweg
1856,Alt-Gatow
1857,Pillnitzer Weg
1858,Borkumer Straße
1859,Alt-Gatow
1860,Borkumer Straße
1861,Borkumer Straße
1862,Jungfernheide/Plötzensee
1863,Alt-Gatow
1864,Borkumer Straße
1865,Alt-Gatow
1866,Branitzer Platz
1867,Branitzer Platz
1868,Lietzensee
1869,Rudolf-Wissell-Großsiedlung
1870,Tiefwerder
1871,Pillnitzer Weg
1872,Pillnitzer Weg
1873,Kurstraße
1874,Alt-Gatow
1875,Alt-Gatow
1876,Jägerallee
1877,Olympiagelände
1878,Bismarckallee
1879,Alt-Gatow
1880,Alt-Gatow
1881,Alt-Gatow
1882,Alt-Gatow
1883,Alt-Gatow
1884,Alt-Gatow
1885,Wilhelmstadt Ost
1886,Staakener Straße
1887,Borkumer Straße
1888,Alt-Gatow
1889,Alt-Gatow
1890,Alt-Gatow
1891,Pillnitzer Weg
1892,Magistratsweg
1893,Jägerallee
1894,Werkstraße
1895,Werkstraße
1896,Tiefwerder
1897,Pillnitzer Weg
1898,Börnicker Straße
1899,Jägerallee
1900,Bärenstein
1901,Biesdorf Süd
1902,Buckower Ring
1903,Buckower Ring
1904,Landsberger Tor
1905,Buckower Ring
1906,Bärenstein
1907,Buckower Ring
1908,Buckower Ring
1909,Buckower Ring
1910,Buckower Ring
1911,Landsberger Tor
1912,Bärenstein
1913,Bärenstein
1914,Biesdorf Süd
1915,Bärenstein
1916,Alt-Mahlsdorf
1917,Gut Hellersdorf
1918,Helle Mitte
1919,Elsensee
1920,Buckower Ring
1921,Landsberger Tor
1922,Landsberger Tor
1923,Alt-Mahlsdorf
1924,Teterower Ring
1925,Alt-Mahlsdorf
1926,Kaulsdorf Süd
1927,Elsensee
1928,Teterower Ring
1929,Kaulsdorf Süd
1930,Kaulsdorf Süd
1931,Teterower Ring
1932,Adele-Sandrock-Straße
1933,Adele-Sandrock-Straße
1934,Adele-Sandrock-Straße
1935,Elsensee
1936,Kaulsdorf Süd
1937,Lea-Grundig-Straße
1938,Ahrensfelder Berge
1939,Lea-Grundig-Straße
1940,Marzahner Promenade
1941,Schleipfuhl
1942,Gut Hellersdorf
1943,Zossener Straße
1944,Schleipfuhl
1945,Adele-Sandrock-Straße
1946,Hellersdorfer Promenade
1947,Boulevard Kastanienallee
1948,Elsensee
1949,Boulevard Kastanienallee
1950,Neue Grottkauer Straße
1951,Boulevard Kastanienallee
1952,Böhlener Straße
1953,Cecilienplatz
1954,Adele-Sandrock-Straße
1955,Hellersdorfer Promenade
1956,Am Kienberg
1957,Elsensee
1958,Kaulsdorf Süd
1959,Hellersdorfer Promenade
1960,Schleipfuhl
1961,Helle Mitte
1962,Böhlener Straße
1963,Adele-Sandrock-Straße
1964,Adele-Sandrock-Straße
1965,Böhlener Straße
1966,Biesdorf Süd
1967,Biesdorf Süd
1968,Landsberger Tor
1969,Landsberger Tor
1970,Am Kienberg
1971,Schleipfuhl
1972,Adele-Sandrock-Straße
1973,Kyritzer Straße
1974,Alt-Biesdorf
1975,Gut Hellersdorf
1976,Pilgramer Straße
1977,Alt-Mahlsdorf
1978,Gut Hellersdorf
1979,Schleipfuhl
1980,Boulevard Kastanienallee
1981,Elsensee
1982,Gut Hellersdorf
1983,Mahlsdorf Nord
1984,Schleipfuhl
1985,Elsensee
1986,Teterower Ring
1987,Teterower Ring
1988,Schleipfuhl
1989,Alt-Kaulsdorf
1990,Mahlsdorf Nord
1991,Alt-Kaulsdorf
1992,Elsensee
1993,Pilgramer Straße
1994,Kaulsdorf Nord
1995,Pilgramer Straße
1996,Mahlsdorf Nord
1997,Kaulsdorf Nord
1998,Alt-Mahlsdorf
1999,Adele-Sandrock-Straße
2000,Böhlener Straße
2001,Teterower Ring
2002,Kyritzer Straße
2003,Kaulsdorf Nord
2004,Am Kienberg
2005,Teterower Ring
2006,Teterower Ring
2007,Böhlener Straße
2008,Dammheide
2009,Dammheide
2010,Dammheide
2011,Dammheide
2012,Dammheide
2013,Hirschgarten
2014,Bahnhofstraße
2015,Alt-Mahlsdorf
2016,Landsberger Tor
2017,Am Kienberg
2018,Kaulsdorf Nord
2019,Am Kienberg
2020,Am Kienberg
2021,Pilgramer Straße
2022,Böhlener Straße
2023,Alt-Mahlsdorf
2024,Alt-Mahlsdorf
2025,Biesdorf Süd
2026,Alt-Kaulsdorf
2027,Hirschgarten
2028,Mahlsdorf Nord
2029,Adele-Sandrock-Straße
2030,Adele-Sandrock-Straße
2031,Mahlsdorf Nord
2032,Böhlener Straße
2033,Pilgramer Straße
2034,Landsberger Tor
2035,Landsberger Tor
2036,Landsberger Tor
2037,Landsberger Tor
2038,Am Kienberg
2039,Am Kienberg
2040,Lea-Grundig-Straße
2041,Elsensee
2042,Hirschgarten
2043,Kaulsdorf Nord
2044,Alt-Marzahn
2045,Pilgramer Straße
2046,Teterower Ring
2047,Dammheide
2048,Landsberger Tor
2049,Pilgramer Straße
2050,Kyritzer Straße
2051,Hirschgarten
2052,Gut Hellersdorf
2053,Hirschgarten
2054,Hirschgarten
2055,Hirschgarten
2056,Hirschgarten
2057,Hirschgarten
2058,Wannsee
2059,Wannsee
2060,Nikolassee
2061,Wannsee
2062,Hüttenweg
2063,Fischerhüttenstraße
2064,Fischerhüttenstraße
2065,Wannsee
2066,Düppel
2067,Nikolassee
2068,Nikolassee
2069,Hüttenweg
2070,Thielallee
2071,Nikolassee
2072,Wannsee
2073,Thielallee
2074,Wannsee
2075,Nikolassee
2076,Nikolassee
2077,Schweizer Viertel
2078,Nikolassee
2079,Zehlendorf Süd
2080,Düppel
2081,Teltower Damm
2082,Sundgauer Straße
2083,Teltower Damm
2084,Wannsee
2085,Zehlendorf Süd
2086,Sundgauer Straße
2087,Berlepschstraße
2088,Fischerhüttenstraße
2089,Zehlendorf Süd
2090,Nikolassee
2091,Teltower Damm
2092,Berlepschstraße
2093,Düppel
2094,Zehlendorf Süd
2095,Wannsee
2096,Fischtal
2097,Nikolassee
2098,Sundgauer Straße
2099,Zehlendorf Süd
2100,Teltower Damm
2101,Teltower Damm
2102,Fischerhüttenstraße
2103,Zehlendorf Eiche
2104,Fischtal
2105,Krumme Lanke
2106,Sundgauer Straße
2107,Nikolassee
2108,Düppel
2109,Sundgauer Straße
2110,Zehlendorf Mitte
2111,Zehlendorf Mitte
2112,Teltower Damm
2113,Berlepschstraße
2114,Fischerhüttenstraße
2115,Krumme Lanke
2116,Fischerhüttenstraße
2117,Fischerhüttenstraße
2118,Thielallee
2119,Fischtal
2120,Krumme Lanke
2121,Thielallee
2122,Thielallee
2123,Wannsee
2124,Berlepschstraße
2125,Wannsee
2126,Düppel
2127,Krumme Lanke
2128,Sundgauer Straße
2129,Goerzwerke
2130,Kafkastraße
2131,Kafkastraße
2132,Kladower Damm
2133,Kladower Damm
2134,Kladower Damm
2135,Kladower Damm
2136,Kladower Damm
2137,Kladower Damm
2138,Kladower Damm
2139,Wannsee
2140,Wannsee
2141,Schweizer Viertel
2142,Vogelviertel Nord
2143,Frauenviertel
2144,Waßmannsdorfer Chaussee
2145,Hufeisensiedlung
2146,Britzer Garten
2147,Buckow Mitte
2148,Zittauer Straße
2149,Mohriner Allee Nord
2150,Buckow West
2151,Waltersdorfer Chaussee Ost
2152,Waltersdorfer Chaussee Ost
2153,Waltersdorfer Chaussee Ost
2154,Hufeisensiedlung
2155,Mohriner Allee Nord
2156,Mohriner Allee Nord
2157,Hufeisensiedlung
2158,Hufeisensiedlung
2159,Mohriner Allee Nord
2160,Hufeisensiedlung
2161,Hufeisensiedlung
2162,Hufeisensiedlung
2163,Park am Buschkrug
2164,Hufeisensiedlung
2165,Ortolanweg
2166,Hufeisensiedlung
2167,Hufeisensiedlung
2168,Hufeisensiedlung
2169,Park am Buschkrug
2170,Frauenviertel
2171,Waltersdorfer Chaussee Ost
2172,Britzer Garten
2173,Waßmannsdorfer Chaussee
2174,Waßmannsdorfer Chaussee
2175,Waßmannsdorfer Chaussee
2176,Waßmannsdorfer Chaussee
2177,Waßmannsdorfer Chaussee
2178,Gropiusstadt Mitte
2179,Zittauer Straße
2180,Waltersdorfer Chaussee Ost
2181,Waltersdorfer Chaussee Ost
2182,Waßmannsdorfer Chaussee
2183,Frauenviertel
2184,Waltersdorfer Chaussee Ost
2185,Waltersdorfer Chaussee Ost
2186,Alt-Rudow
2187,Blumenviertel
2188,Ortolanweg
2189,Waltersdorfer Chaussee Ost
2190,Vogelviertel Nord
2191,Ortolanweg
2192,Ortolanweg
2193,Alt-Rudow
2194,Waltersdorfer Chaussee Ost
2195,Britzer Garten
2196,Britzer Garten
2197,Parchimer Allee Süd
2198,Britzer Garten
2199,Parchimer Allee Süd
2200,Mohriner Allee Nord
2201,Britzer Garten
2202,Britzer Garten
2203,Parchimer Allee Süd
2204,Britzer Garten
2205,Buckow Mitte
2206,Buckow Mitte
2207,Buckow West
2208,Buckow Ost
2209,Buckow West
2210,Buckow West
2211,Buckow West
2212,Buckow Mitte
2213,Buckow West
2214,Buckow Mitte
2215,Botanischer Garten
2216,Botanischer Garten
2217,Munsterdamm
2218,Stadtpark
2219,Munsterdamm
2220,Mittelstraße
2221,Südende
2222,Gallwitzallee
2223,Thermometersiedlung
2224,Südende
2225,Königsberger Straße
2226,Hindenburgdamm
2227,Alt-Lankwitz
2228,Lankwitz Süd
2229,Munsterdamm
2230,Südende
2231,Goerzwerke
2232,Botanischer Garten
2233,Alt-Lankwitz
2234,Lankwitz Süd
2235,Königsberger Straße
2236,Schütte-Lanz-Straße
2237,Schloßstraße
2238,Lankwitz Süd
2239,Belßstraße
2240,Alt-Lankwitz
2241,Alt-Lankwitz
2242,Gallwitzallee
2243,Lankwitz Süd
2244,Lichterfelde Süd
2245,Kaiser-Wilhelm-Straße
2246,Lankwitz Kirche
2247,Alt-Lankwitz
2248,Alt-Lankwitz
2249,Lankwitz Kirche
2250,Lankwitz Kirche
2251,Hindenburgdamm
2252,Goerzwerke
2253,Lichterfelde Süd
2254,Augustaplatz
2255,Hindenburgdamm
2256,Königsberger Straße
2257,Hindenburgdamm
2258,Augustaplatz
2259,Südende
2260,Munsterdamm
2261,Bergstraße
2262,Königsberger Straße
2263,Königsberger Straße
2264,Königsberger Straße
2265,Mittelstraße
2266,Oberhofer Platz
2267,Mittelstraße
2268,Schütte-Lanz-Straße
2269,Botanischer Garten
2270,Schütte-Lanz-Straße
2271,Schütte-Lanz-Straße
2272,Munsterdamm
2273,Thermometersiedlung
2274,Stadtpark
2275,Gallwitzallee
2276,Gallwitzallee
2277,Lichterfelde Süd
2278,Lankwitz Süd
2279,Mittelstraße
2280,Belßstraße
2281,Diedersdorfer Weg
2282,Töpchiner Weg
2283,Diedersdorfer Weg
2284,Eisenacher Straße
2285,Franziusweg
2286,Hundsteinweg
2287,Kirchstraße
2288,Eisenacher Straße
2289,Hundsteinweg
2290,Franziusweg
2291,Kettinger Straße
2292,Nahariyastraße
2293,Kettinger Straße
2294,Horstwalder Straße
2295,Eisenacher Straße
2296,John-Locke-Straße
2297,Imbrosweg
