,planname
273,Askanischer Platz
274,Revaler Straße
275,Gleisdreieck
276,Mehringplatz
277,Barnimkiez
278,Barnimkiez
279,Urbanstraße
280,Viktoriapark
281,Oranienplatz
282,Stralauer Halbinsel
283,Weberwiese
284,Stralauer Halbinsel
285,Wriezener Bahnhof
286,Wriezener Bahnhof
287,Pettenkofer Straße
288,Oranienplatz
289,Mehringplatz
290,Mehringplatz
291,Niederbarnimstraße
292,Wrangelkiez
293,Traveplatz
294,Wrangelkiez
295,Wriezener Bahnhof
296,Boxhagener Platz
297,Gleisdreieck
298,Stralauer Halbinsel
299,Richard-Sorge-Viertel
300,Moritzplatz
301,Friedenstraße
302,Stralauer Halbinsel
303,Gleisdreieck
304,Gleisdreieck
305,Wriezener Bahnhof
306,Stralauer Halbinsel
307,Urbanstraße
308,Forckenbeckplatz
309,Stralauer Halbinsel
310,Wriezener Bahnhof
311,Weberwiese
312,Traveplatz
313,Barnimkiez
314,Andreasviertel
315,Richard-Sorge-Viertel
316,Friedenstraße
317,Richard-Sorge-Viertel
318,Barnimkiez
319,Wassertorplatz
320,Askanischer Platz
321,Viktoriapark
322,Rathaus Yorckstraße
323,Urbanstraße
324,Urbanstraße
325,Urbanstraße
326,Viktoriapark
327,Chamissokiez
328,Urbanstraße
329,Graefekiez Nord
330,Chamissokiez
331,Graefekiez Nord
332,Urbanstraße
333,Graefekiez Nord
334,Urbanstraße
335,Reichenberger Straße Ost
336,Reichenberger Straße Ost
337,Reichenberger Straße Ost
338,Wrangelkiez
339,Reichenberger Straße Ost
340,Wrangelkiez
341,Mehringplatz
342,Oranienplatz
343,Oranienplatz
344,Lausitzer Platz
345,Köpenicker Straße
346,Wrangelkiez
347,Lausitzer Platz
348,Oranienplatz
349,Wassertorplatz
350,Oranienplatz
351,Wassertorplatz
352,Moritzplatz
353,Wassertorplatz
354,Wassertorplatz
355,Prinzenstraße
356,Wassertorplatz
357,Wassertorplatz
358,Askanischer Platz
359,Mehringplatz
360,Askanischer Platz
361,Askanischer Platz
362,Mehringplatz
363,Mehringplatz
364,Askanischer Platz
365,Mehringplatz
366,Alexanderplatzviertel
367,Alexanderplatzviertel
368,Alexanderplatzviertel
369,Alexanderplatzviertel
370,Alexanderplatzviertel
371,Karl-Marx-Allee
372,Karl-Marx-Allee
373,Karl-Marx-Allee
374,Karl-Marx-Allee
375,Karl-Marx-Allee
376,Karl-Marx-Allee
377,Karl-Marx-Allee
378,Karl-Marx-Allee
379,Karl-Marx-Allee
380,Heine-Viertel West
381,Heine-Viertel West
382,Heine-Viertel Ost
383,Heine-Viertel West
384,Heine-Viertel West
385,Heine-Viertel Ost
386,Nordufer
387,Humboldthain Nordwest
388,Kameruner Straße
389,Humboldthain Nordwest
390,Humboldthain Nordwest
391,Schwedenstraße
392,Sparrplatz
393,Westliche Müllerstraße
394,Leopoldplatz
395,Humboldthain Nordwest
396,Humboldthain Süd
397,Stephankiez
398,Westliche Müllerstraße
399,Humboldthain Nordwest
400,Afrikanische Straße
401,Humboldthain Nordwest
402,Humboldthain Nordwest
403,Humboldthain Nordwest
404,Antonstraße
405,Humboldthain Süd
406,Großer Tiergarten
407,Hansaviertel
408,Zillesiedlung
409,Heidestraße
410,Kameruner Straße
411,Heine-Viertel Ost
412,Huttenkiez
413,Huttenkiez
414,Großer Tiergarten
415,Heine-Viertel Ost
416,Charitéviertel
417,Huttenkiez
418,Charitéviertel
419,Jungfernheide/Plötzensee
420,Alexanderplatzviertel
421,Elberfelder Straße
422,Lüneburger Straße
423,Leipziger Straße
424,Charitéviertel
425,Charitéviertel
426,Unter den Linden
427,Kameruner Straße
428,Afrikanische Straße
429,Hansaviertel
430,Huttenkiez
431,Großer Tiergarten
432,Heine-Viertel West
433,Großer Tiergarten
434,Großer Tiergarten
435,Heine-Viertel West
436,Charitéviertel
437,Oranienburger Straße
438,Charitéviertel
439,Arkonaplatz
440,Unter den Linden
441,Leipziger Straße
442,Heine-Viertel Ost
443,Heidestraße
444,Unter den Linden
445,Großer Tiergarten
446,Unter den Linden
447,Elberfelder Straße
448,Lützowstraße
449,Zwinglistraße
450,Thomasiusstraße
451,Lützowstraße
452,Hansaviertel
453,Hansaviertel
454,Hansaviertel
455,Lüneburger Straße
456,Hansaviertel
457,Hansaviertel
458,Körnerstraße
459,Thomasiusstraße
460,Bremer Straße
461,Elberfelder Straße
462,Huttenkiez
463,Heine-Viertel Ost
464,Invalidenstraße
465,Charitéviertel
466,Huttenkiez
467,Hansaviertel
468,Großer Tiergarten
469,Arkonaplatz
470,Heine-Viertel West
471,Huttenkiez
472,Stephankiez
473,Bremer Straße
474,Bremer Straße
475,Großer Tiergarten
476,Großer Tiergarten
477,Großer Tiergarten
478,Hansaviertel
479,Hansaviertel
480,Elberfelder Straße
481,Lützowstraße
482,Großer Tiergarten
483,Großer Tiergarten
484,Lüneburger Straße
485,Großer Tiergarten
486,Lüneburger Straße
487,Großer Tiergarten
488,Großer Tiergarten
489,Großer Tiergarten
490,Heidestraße
491,Hansaviertel
492,Karl-Marx-Allee
493,Leipziger Straße
494,Heine-Viertel West
495,Heine-Viertel West
496,Unter den Linden
497,Oranienburger Straße
498,Oranienburger Straße
499,Leipziger Straße
500,Alexanderplatzviertel
501,Arkonaplatz
502,Alexanderplatzviertel
503,Oranienburger Straße
504,Unter den Linden
505,Unter den Linden
506,Arkonaplatz
507,Charitéviertel
508,Charitéviertel
509,Heine-Viertel West
510,Oranienburger Straße
511,Karl-Marx-Allee
512,Oranienburger Straße
513,Heine-Viertel Ost
514,Karl-Marx-Allee
515,Alexanderplatzviertel
516,Heine-Viertel West
517,Alexanderplatzviertel
518,Heine-Viertel West
519,Charitéviertel
520,Oranienburger Straße
521,Heine-Viertel Ost
522,Alexanderplatzviertel
523,Heine-Viertel Ost
524,Heine-Viertel West
525,Heine-Viertel Ost
526,Heine-Viertel Ost
527,Heine-Viertel Ost
528,Invalidenstraße
529,Humboldthain Nordwest
530,Humboldthain Süd
531,Humboldthain Nordwest
532,Humboldthain Nordwest
533,Humboldthain Süd
534,Stephankiez
535,Invalidenstraße
536,Nordbahnhof
537,Nordufer
538,Huttenkiez
539,Hansaviertel
540,Oranienburger Straße
541,Unter den Linden
542,Großer Tiergarten
543,Lüneburger Straße
544,Lüneburger Straße
545,Charitéviertel
546,Großer Tiergarten
547,Humboldthain Nordwest
548,Großer Tiergarten
549,Nordufer
550,Germaniagarten
551,Komponistenviertel Weißensee
552,Komponistenviertel Weißensee
553,Michelangelostraße
554,Alter Schlachthof
555,Michelangelostraße
556,Volkspark Prenzlauer Berg
557,Volkspark Prenzlauer Berg
558,Volkspark Prenzlauer Berg
559,Michelangelostraße
560,Volkspark Prenzlauer Berg
561,Helmholtzplatz
562,Falkplatz
563,Michelangelostraße
564,Ostseestraße
565,Teutoburger Platz
566,Falkplatz
567,Thälmannpark
568,Michelangelostraße
569,Michelangelostraße
570,Thälmannpark
571,Ostseestraße
572,Ostseestraße
573,Ostseestraße
574,Kollwitzplatz
575,Helmholtzplatz
576,Senefelderstraße
577,Thälmannpark
578,Volkspark Prenzlauer Berg
579,Volkspark Prenzlauer Berg
580,Volkspark Prenzlauer Berg
581,Kollwitzplatz
582,Sredzkistraße
583,Alter Schlachthof
584,Velodrom
585,Helmholtzplatz
586,Michelangelostraße
587,Thälmannpark
588,Falkplatz
589,Michelangelostraße
590,Michelangelostraße
591,Michelangelostraße
592,Michelangelostraße
593,Immanuelkirchstraße
594,Bötzowstraße
595,Michelangelostraße
596,Michelangelostraße
597,Michelangelostraße
598,Anton-Saefkow-Park
599,Michelangelostraße
600,Michelangelostraße
601,Michelangelostraße
602,Ostseestraße
603,Michelangelostraße
604,Alter Schlachthof
605,Helmholtzplatz
606,Alter Schlachthof
607,Alter Schlachthof
608,Helmholtzplatz
609,Bötzowstraße
610,Bötzowstraße
611,Immanuelkirchstraße
612,Immanuelkirchstraße
613,Kollwitzplatz
614,Kollwitzplatz
615,Volkspark Prenzlauer Berg
616,Volkspark Prenzlauer Berg
617,Volkspark Prenzlauer Berg
618,Volkspark Prenzlauer Berg
619,Volkspark Prenzlauer Berg
620,Volkspark Prenzlauer Berg
621,Volkspark Prenzlauer Berg
622,Volkspark Prenzlauer Berg
623,Volkspark Prenzlauer Berg
624,Springpfuhl
625,Marzahner Chaussee
626,Springpfuhl
627,Springpfuhl
628,Alt-Biesdorf
629,Oberfeldstraße
630,Alt-Biesdorf
631,Auersbergstraße
632,Alt-Marzahn
633,Alt-Marzahn
634,Springpfuhl
635,Alt-Marzahn
636,Oberfeldstraße
637,Marzahner Chaussee
638,Bärenstein
639,Biesdorf Süd
640,Biesdorf Süd
641,Marzahner Chaussee
642,Biesdorf Süd
643,Springpfuhl
644,Alt-Biesdorf
645,Alt-Biesdorf
646,Bärenstein
647,Alt-Marzahn
648,Auersbergstraße
649,Alt-Marzahn
650,Alt-Marzahn
651,Springpfuhl
652,Auersbergstraße
653,Auersbergstraße
654,Alt-Marzahn
655,Alt-Marzahn
656,Auersbergstraße
657,Springpfuhl
658,Alt-Biesdorf
659,Biesdorf Süd
660,Alt-Biesdorf
661,Springpfuhl
662,Kaulsdorf Süd
663,Marzahner Promenade
664,Bürgerpark
665,Marzahner Chaussee
666,Gewerbegebiet Bitterfelder Straße
667,Marzahner Chaussee
668,Lea-Grundig-Straße
669,Marzahner Promenade
670,Oberfeldstraße
671,Marzahner Chaussee
672,Biesdorf Süd
673,Gewerbegebiet Bitterfelder Straße
674,Buckower Ring
675,Wuhlheide
676,Baumschulenweg West
677,Baumschulenweg West
678,Späthsfelde
679,Alt-Treptow
680,Griechischer Park
681,Plänterwald West
682,Plänterwald Ost
683,Baumschulenweg West
684,Baumschulenweg Ost
685,Baumschulenweg Ost
686,Baumschulenweg West
687,Baumschulenweg West
688,Plänterwald Ost
689,Baumschulenweg Ost
690,Plänterwald West
691,Alt-Treptow
692,Plänterwald Ost
693,Helmholtz-Kiez
694,Plänterwald Ost
695,Plänterwald West
696,Alt-Treptow
697,Alt-Treptow
698,Alt-Treptow
699,Alt-Treptow
700,Alt-Treptow
701,Alt-Treptow
702,Alt-Treptow
703,Wuhlheide
704,Wuhlheide
705,Wuhlheide
706,Wuhlheide
707,Wuhlheide
708,Helmholtz-Kiez
709,Wuhlheide
710,Griechischer Park
711,Bahnhof Schöneweide
712,Baumschulenweg West
713,Landsberger Allee
714,Große-Leege-Straße
715,Große-Leege-Straße
716,Große-Leege-Straße
717,Landsberger Allee
718,Landsberger Allee
719,Orankesee
720,Hauptstraße
721,Landsberger Allee
722,Landsberger Allee
723,Landsberger Allee
724,Weiße Taube
725,Landsberger Allee
726,Landsberger Allee
727,Orankesee
728,Orankesee
729,Landsberger Allee
